Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,qual_periods
Noah Syndergaard,LAA,3.630000000000001,-0.18999999999999995,1.4300000000000002,0.69,9.599999999999998,-0.5,10.099999999999998,0.0050000000000000044,0.020000000000000018,0.02300000000000002,-3.799999999999997,26,-1,-31,1,-0.03999999999999915,1.04,-1.1700000000000004,-1.1600000000000001,2
Pablo Lopez,MIA,-1.0500000000000007,0.5599999999999996,-0.6699999999999999,0.18999999999999995,-0.40000000000000213,2.5,-2.9000000000000004,-0.07900000000000001,-0.3599999999999999,-0.11700000000000002,9.900000000000006,-14,23,4,-0.5200000000000005,0.8899999999999997,-1.4100000000000001,0.1200000000000001,0.16999999999999993,2
Paolo Espino,WSN,1.6500000000000004,-0.75,1.4699999999999998,1.8,2,-2.6999999999999993,4.699999999999999,0.095,0.47,0.09499999999999997,-16.099999999999994,122,47,8,5.1,1.9900000000000002,3.11,0.3200000000000003,-0.02999999999999936,2
Patrick Corbin,WSN,1.5899999999999999,0.28,0.25,-1.9300000000000002,7.300000000000001,1.5,5.699999999999999,-0.08499999999999996,-0.5700000000000001,-0.03999999999999998,26,-72,-73,-26,-3.02,-3.06,0.040000000000000036,-1.08,-0.71,2
Patrick Sandoval,LAA,5.539999999999999,-0.9700000000000002,2.45,-0.45999999999999996,14.299999999999997,-2.2,16.4,0.007000000000000006,-0.07000000000000006,0.11099999999999999,-23.700000000000003,59,-59,-67,2.2699999999999996,-2.3499999999999996,4.609999999999999,-2.5699999999999994,-1.7999999999999994,2
Paul Blackburn,OAK,3.5699999999999994,0.7799999999999998,0.5499999999999998,0.6499999999999999,11.1,2.8,8.3,-0.059,-0.29000000000000004,-0.04999999999999999,-17.799999999999997,47,11,0,1.7599999999999998,0.41000000000000014,1.35,-0.010000000000000231,-0.6499999999999999,2
Reid Detmers,LAA,0.75,-1.8499999999999996,1.39,-2.77,6.899999999999999,-3,9.8,-0.065,-0.5399999999999999,0.017000000000000015,5.3999999999999915,-122,-127,-54,-4.73,-4.99,0.26,-2.07,-1.3599999999999999,2
Rich Hill,BOS,-2.25,5.04,-4.25,-0.86,-6.700000000000003,12.799999999999999,-19.5,-0.037000000000000005,0.31000000000000005,-0.04099999999999998,8.900000000000006,-1,32,47,-0.050000000000000266,1.2199999999999998,-1.27,1.81,2.16,2
Roansy Contreras,PIT,0.8199999999999994,1.8199999999999998,-0.5,0.9099999999999999,2.6000000000000014,4.800000000000001,-2.1999999999999993,-0.044999999999999984,-0.050000000000000044,-0.07599999999999996,1,47,37,-4,1.8899999999999997,1.5300000000000002,0.36,-0.1200000000000001,0.20999999999999996,2
Robbie Ray,SEA,3.620000000000001,0.6800000000000002,0.41999999999999993,-0.16000000000000003,13.100000000000001,2.6999999999999993,10.399999999999999,-0.07700000000000001,-0.24,-0.07200000000000001,7.599999999999994,-24,-32,-44,-0.88,-1.1800000000000002,0.29000000000000004,-1.6800000000000006,-1.0899999999999999,2
