Name,Team,PA,BB%,K%,BB/K,Barrel%,HardHit%,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC+,R,H,BB,HR,RBI,SB,qual_periods
Brad Miller,TEX,-5,-7.5,4,-0.30000000000000004,4.8999999999999995,7.600000000000001,0.011999999999999983,-0.05099999999999999,0.04300000000000001,-0.008999999999999952,0.031,0.5,0.02300000000000002,0,0,0,0,-0.10000000000000009,-0.019000000000000017,-13,-1,0,-3,0,-2,0,2
Josh Donaldson,NYY,0,0,-1.6000000000000014,0.009999999999999981,4.7,7.899999999999999,-0.02099999999999999,-0.03200000000000003,0.10000000000000009,0.06699999999999995,0.121,1.5,-0.08099999999999999,0,0,0.1,1,0.9,0.018000000000000016,12,4,-1,0,2,11,0,2
Ketel Marte,ARI,6,6.899999999999999,-1.3000000000000007,0.72,4.7,3.299999999999997,0.031000000000000028,0.061,0.131,0.19199999999999984,0.09899999999999998,-2.5,0,0,0,-0.6,5,3.7,0.07400000000000007,50,2,2,5,2,2,-1,2
David Peralta,ARI,4,6.299999999999999,-9.3,0.32,4.5,-7.100000000000001,0.018000000000000016,0.06599999999999998,0.039000000000000035,0.10499999999999998,0.01899999999999999,-3.9999999999999996,-0.029000000000000026,0,0,-0.2,1,1,0.032999999999999974,23,1,1,3,1,3,-1,2
Jesse Winker,SEA,-39,-21,-3.3999999999999986,-0.8200000000000001,4.5,-7.399999999999999,-0.09300000000000003,-0.218,-0.05399999999999999,-0.27100000000000013,0.03900000000000001,1.1,-0.189,0.3,-0.1,0.1,-11,-7.1,-0.128,-90,-4,-10,-17,-1,-4,0,2
Francisco Lindor,NYM,-4,4.5,-4.5,0.29000000000000004,4.399999999999999,-4.099999999999994,0.004999999999999977,0.030000000000000027,0.067,0.09699999999999998,0.06299999999999997,2.1999999999999997,-0.026999999999999996,0,0,0,1,2.3,0.03999999999999998,27,1,-1,3,1,-3,0,2
Gilberto Celestino,MIN,-4,-5.1,2.599999999999998,-0.25,4.2,-5.400000000000002,0.011999999999999983,-0.031,0.10699999999999998,0.07600000000000001,0.096,4.199999999999999,0.01899999999999999,0,0.1,0,1,0.7999999999999998,0.015999999999999986,12,2,0,-2,0,2,0,2
Jose Iglesias,COL,-4,-6.8,-4.199999999999999,-0.4,4.2,21.8,0.05399999999999999,0.0040000000000000036,0.23600000000000004,0.2410000000000001,0.18100000000000002,1.0000000000000002,0,0,0,0.5,4,4,0.08899999999999997,60,5,3,-4,3,11,0,2
Omar Narvaez,MIL,1,13.7,-6.1,1.1099999999999999,4.2,1.6000000000000014,0.025000000000000022,0.13199999999999998,0.16699999999999998,0.299,0.14200000000000002,-1,-0.013999999999999985,0,0,0,4,3.7,0.13299999999999995,90,0,0,5,1,2,0,2
Joc Pederson,SFG,-10,5.800000000000001,-10.7,0.42999999999999994,4.199999999999999,-7.399999999999999,-0.094,-0.05599999999999994,-0.2,-0.256,-0.10600000000000001,-0.3000000000000007,-0.10399999999999998,0,0,0.1,-6,-4.7,-0.11499999999999996,-77,-6,-7,2,-4,-7,0,2
Jonah Heim,TEX,1,-4,-8.1,-0.07999999999999996,4.199999999999999,15.299999999999997,0.10999999999999999,0.07099999999999995,0.05299999999999999,0.1250000000000001,-0.05500000000000002,-1.2000000000000002,0.11399999999999993,0,0,-0.30000000000000004,2,2.3,0.05499999999999999,39,5,6,-2,0,-3,-1,2
